Stkcd,target,year_1,year_2,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,embedding_100,embedding_101,embedding_102,embedding_103,embedding_104,embedding_105,embedding_106,embedding_107,embedding_108,embedding_109,embedding_110,embedding_111,embedding_112,embedding_113,embedding_114,embedding_115,embedding_116,embedding_117,embedding_118,embedding_119,embedding_120,embedding_121,embedding_122,embedding_123,embedding_124,embedding_125,embedding_126,embedding_127,dataset
889,0.0,2016,2017,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.7615942,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
893,0.0,2010,2011,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
893,0.0,2011,2012,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
893,0.0,2012,2013,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
893,0.0,2013,2014,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
893,0.0,2014,2015,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
893,0.0,2015,2016,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
893,0.0,2016,2017,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.7615942,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
895,1.0,2010,2011,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
895,0.0,2011,2012,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
895,0.0,2012,2013,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
895,0.0,2013,2014,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
895,0.0,2014,2015,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
895,0.0,2015,2016,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
895,0.0,2016,2017,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.7615942,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
897,1.0,2010,2011,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
897,1.0,2011,2012,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
897,1.0,2012,2013,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
897,1.0,2013,2014,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
897,1.0,2014,2015,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
897,1.0,2015,2016,0.9640276,0.0,0.9640276,0.0,0.0,0.0,0.0,0.7615942,0.9640276,-0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-0.7615942,-0.7615942,0.0,0.0,0.0,0.0,-0.9640276,0.0,-0.0,-0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9640276,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615942,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,-0.9640276,-0.9640276,-0.0,0.9640276,0.0,0.0,0.9640276,0.0,-0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,-0.0,0.0,-0.7615942,0.0,0.0,0.0,-0.0,0.0,0.0,0.9640276,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615942,0.0,0.0,0.9640276,-0.9640276,0.0,-0.9640276,0.0,0.0,0.7615942,0.0,-0.9640276,0.0,0.0,train
